no,X,Y,OBJECTID,BBY_PID,LOT_ID,GIS_ID,LTO_PID,ST_UNIT,ST_NMBR,ST_NAME,ST_TYPE,ST_SFX,UNIT,ADDRESS,PLAN,DL,BLOCK,LOT,STRATA,AIR_SPACE,AGGREGATE,AGGR_ROLL,CASENO,STATUS,CASE_TYPE,PID,CASE_BUS_TR_NAME,serviceProvded,CASE_BUS_TYPE_DESC,BUS_CLASS_UNITS,BUS_CLASS_NO,BUS_CLASS_DESC,APPLYDATE,ISSUEDATE,EXPIRYDATE,LICENCESTATUS,NAME_LAST
6105,-123.0038094,49.22686961,6105,000-040-545,25963,6059,011-088-664,120,6200,MCKAY,AVE,,120,6200 MCKAY AV,NWP77781,153, ,B,N,Y,N,,BUS16-01858,Approved,,000-040-545,STARBUCKS COFFEE #29965,y,Retail cafe,Seats,20,Restaurant,2016-07-26T07:00:00.000Z,2018-12-08T08:02:52.000Z,2019-12-31T08:00:00.000Z,Approved,STARBUCKS COFFEE CANADA INC
6128,-123.0018229,49.22859423,6128,000-077-779,115746,23317,028-888-049,110,4698,KINGSWAY,,,110,4650 KINGSWAY,BCP51090,153,,1,N,N,N,,BUS16-01929,Approved,,000-077-779,STARBUCKS COFFEE #29966,y,10 seat retail cafe,Seats,10,Restaurant,2016-08-05T07:00:00.000Z,2018-12-08T08:02:17.000Z,2019-12-31T08:00:00.000Z,Approved,STARBUCKS COFFEE CANADA INC
6280,-122.9430537,49.22337944,6280,000-031-698,28267,39755,002-893-525, ,7625,EDMONDS,ST,, ,7611 EDMONDS ST,NWP3036,30,22,9,N,N,C,4310-7611-0000,BUS16-02303,Approved,,000-031-698,CATTLE CAFE,n,Hong Kong style cafe,Seats,50,Restaurant,2016-09-27T07:00:00.000Z,2018-12-18T08:00:12.000Z,2019-12-31T08:00:00.000Z,Approved,0834758 BC LTD
6363,-123.0154311,49.28135042,6363,000-003-397,4103,39675,002-568-535, ,4027,HASTINGS,ST,, ,4027 HASTINGS ST,NWP1236,116,5,15,N,N,C,0700-4027-0000,BUS16-02503,Approved,,000-003-397,BLISS CAFE,n,Hookah restaurant,Seats,30,Restaurant,2016-10-31T07:00:00.000Z,2018-11-28T23:40:30.000Z,2019-12-31T08:00:00.000Z,Approved,BLISS CAFE CORP
6828,-123.0051881,49.26586887,6828,000-077-173,115326,5660,028-885-473,1,4415,SKYLINE,DR,,1,2008 ROSSER AV,BCP51027,119,6,A,N,N,N,,BUS17-00756,Approved,,000-077-173,RICKY'S CAFE,n,Casual restaurant,Seats,94,Restaurant,2017-02-28T08:00:00.000Z,2018-12-12T08:02:31.000Z,2019-12-31T08:00:00.000Z,Approved,RICKY'S SOLO PROJECT LTD
6998,-123.001182,49.22675173,6998,000-070-298,112317,5624,027-557-464,1157,4700,KINGSWAY,,,1157,4700 KINGSWAY,BCP36875,153,,1,N,Y,N,,BUS17-01123,Approved,,000-070-298,TIM HORTONS,y,Restaurant - 27 seats,Seats,27,Restaurant,2017-04-11T07:00:00.000Z,2019-01-03T08:00:25.000Z,2019-12-31T08:00:00.000Z,Approved,1008904 BC LTD
7008,-122.9306946,49.22098397,7008,000-034-757,29768,13768,002-928-299, ,7705,SIXTH,ST,, ,7876 13TH AV,NWP24032,28,1,22,N,N,N,,BUS17-01138,Approved,,000-034-757,HANDWORKS COFFEE STUDIO,n,Take out coffee & accessory retail items,Seats,0,Restaurant,2017-04-13T07:00:00.000Z,2019-01-23T08:00:52.000Z,2019-12-31T08:00:00.000Z,Approved,HANDWORKS ENTERPRISES INC
7056,-122.9580777,49.21800358,7056,000-023-023,31439,17000,002-148-277, ,7090,KINGSWAY,,, ,7080 KINGSWAY,NWS1960,95, ,1,Y,N,N,,BUS17-01252,Approved,,000-023-023,QUEEN'S CAFE,n,Restaurant,Seats,65,Restaurant,2017-05-03T07:00:00.000Z,2018-12-18T08:01:28.000Z,2019-12-31T08:00:00.000Z,Approved,QUEEN'S CAFE LTD
7097,-123.0073869,49.26713719,7097,000-057-954,40036,19246,024-763-730,105,1899,ROSSER,AVE,,105,4399 LOUGHEED HY,LMP45761,119,,B,N,N,N,,BUS17-01325,Approved,,000-057-954,CUPPA JOE COFFEE,n,Coffee shop - 50 seats,Seats,50,Restaurant,2018-01-26T03:53:12.000Z,2019-01-30T08:00:36.000Z,2019-12-31T08:00:00.000Z,Approved,CANAWAN COFFEE INC
7169,-122.9182228,49.27644901,7169,000-074-853,112962,39922,028-300-131,WMALL,8888,UNIVERSITY,DR,,WMALL,8888 UNIVERSITY DR,BCP45523,31,,1,N,N,N,,BUS17-01486,Approved,,000-074-853,STARBUCKS 1 WEST MALL,y,Food services,Seats,85,Restaurant,2017-06-13T07:00:00.000Z,2017-12-13T08:00:44.000Z,2018-12-31T08:00:00.000Z,Approved,SODEXO MS CANADA LTD
